timestamp,symbol,direction,confidence,weighted_score,long_score,short_score,diff,reason,near_setup_category
2026-06-29T11:03:12.485356+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T11:08:19.271389+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T11:13:25.469455+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T11:18:31.337806+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T11:23:35.404577+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T11:28:40.891332+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T11:33:45.924126+00:00,SOL/USDT,LONG,71.0,21.0,21.0,14.0,7.0,No clear directional edge.,FAR
2026-06-29T11:38:52.438434+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T11:43:57.889492+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T11:49:02.979818+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T11:54:08.388850+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T11:59:15.134255+00:00,SOL/USDT,LONG,77.0,21.0,21.0,12.0,9.0,No clear directional edge.,MEDIUM
2026-06-29T12:04:18.776101+00:00,BTC/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T12:04:20.206400+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T12:09:23.937974+00:00,BTC/USDT,SHORT,92.0,25.0,11.0,25.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-29T12:09:24.671660+00:00,ETH/USDT,SHORT,83.0,23.0,12.0,23.0,11.0,No clear directional edge.,MEDIUM
2026-06-29T12:09:26.529351+00:00,SOL/USDT,LONG,65.0,21.0,21.0,16.0,5.0,No clear directional edge.,FAR
2026-06-29T12:14:30.700344+00:00,BTC/USDT,SHORT,92.0,25.0,11.0,25.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-29T12:14:31.456152+00:00,ETH/USDT,SHORT,89.0,25.0,12.0,25.0,13.0,No clear directional edge.,CLOSE
2026-06-29T12:19:35.812374+00:00,BTC/USDT,SHORT,92.0,25.0,11.0,25.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-29T12:19:36.669575+00:00,ETH/USDT,SHORT,92.0,25.0,11.0,25.0,14.0,No clear directional edge.,VERY_CLOSE
2026-06-29T12:24:40.891465+00:00,BTC/USDT,SHORT,86.0,23.0,11.0,23.0,12.0,No clear directional edge.,CLOSE
